Skill
python
machine learning
data analysis
deep learning
sql
power bi
excel
nlp
flask
pandas
numpy
tensorflow
keras
django
react
html
css
javascript
cloud computing
aws
azure
git
github
data visualization
communication
leadership
problem solving
